Average particle radius (µm), 7.185866400000001, 0.35544697876200887
Escaping voltage (V), 8.25
Escaping force (pN), 143.17158977140133
Stiffness (pN/µm), 8.289120982425093
Rsquared, 0.8869501523343278


Time (s), Voltage (V), EF gradient (V^2/m^3), DEP force (pN), Offset (µm)
24.0, 3.25, 6747172572789.125, 7.77089693495646, 2.1153
24.5, 3.5, 7318077128838.78, 9.912646084901125, 1.4645131682576296
25.0, 3.5, 7966077046211.735, 8.431220819976101, 2.3786196354188283
25.5, 3.5, 7318481231009.597, 6.492390168320534, 1.550372164997811
26.0, 3.5, 7449935249043.522, 10.09125350540222, 1.550372164997811
26.5, 3.75, 9131955609066.012, 9.665175695842553, 2.3155986375017585
27.0, 3.75, 8750982057039.987, 12.814227877260896, 1.7413505620638254
27.5, 3.75, 8507846799268.525, 9.798711964497016, 1.8141545716944847
28.0, 3.75, 8563955176726.951, 11.600240781736822, 1.643011920224561
28.5, 4.0, 10112610627829.545, 8.180032873757563, 2.250813792831384
29.0, 4.0, 9910842759319.807, 18.125929457651633, 2.044177039788873
29.5, 4.0, 9932431318276.93, 13.453899800081782, 1.824317982151138
30.0, 4.0, 10318628989326.94, 13.977020937579178, 2.1925573424656424
30.5, 4.25, 11899886576670.29, 17.425228084468277, 2.3155986375017585
31.0, 4.25, 12474376940634.387, 14.367069537306314, 2.9416243573916776
31.5, 4.25, 11899886576670.29, 17.425228084468277, 2.3155986375017585
32.0, 4.25, 11877764456730.625, 16.088936105278705, 2.4324239762015174
32.5, 4.5, 13182231307360.781, 13.951949297956473, 2.5799752324392573
33.0, 4.5, 13833843886987.973, 18.73852871884725, 2.8587450201093487
33.5, 4.5, 12901981845642.469, 13.655335910624224, 2.1240229236051102
34.0, 4.5, 13873350965700.475, 20.315009165478287, 2.7533169904680426
34.5, 4.75, 15255877580963.533, 17.57059732132713, 2.6922
35.0, 4.75, 15582180192280.334, 17.946408660787483, 2.9416243573916776
35.5, 4.75, 17285861944425.53, 25.312013276560723, 3.8890268204269303
36.0, 4.75, 17629483550424.094, 27.852321035619482, 4.0383
36.5, 5.0, 20238753941315.816, 29.635988654232918, 4.460365233924235
37.0, 5.0, 20857300003971.977, 26.07984995968966, 4.868647131390814
37.5, 5.0, 20846490820924.12, 26.066334218341485, 4.84199027880065
38.0, 5.0, 21733220643396.07, 31.82436439887621, 5.195659890716481
38.5, 5.25, 24874819200508.28, 39.29902132946383, 5.580014532239141
39.0, 5.25, 27331662021944.273, 28.92757332714375, 6.755179039818264
39.5, 5.25, 26558635353455.746, 33.20876743491875, 6.392348195303507
40.0, 5.25, 25119896000515.742, 31.40977588526319, 5.772204110216478
40.5, 5.5, 30753051518940.383, 38.45344168534926, 6.98925189773555
41.0, 5.5, 30385441438663.094, 44.493974300056756, 6.755179039818264
41.5, 5.5, 30823926426425.297, 41.752316658169555, 6.946795912505275
42.0, 5.5, 31756002484004.4, 36.574227160668194, 7.370385133084973
42.5, 5.75, 31756425930881.977, 36.574714855625984, 6.392348195303507
43.0, 5.75, 34421754927474.2, 50.40442417785967, 7.156557597756061
43.5, 5.75, 33965775339310.47, 35.949056297868694, 7.1384495249318665
44.0, 5.75, 31858317691560.305, 39.835460256399145, 6.392348195303507
44.5, 6.0, 38033622197361.19, 51.518155593572544, 7.370385133084973
45.0, 6.0, 38273589343971.17, 60.46735824930652, 7.34777268292916
45.5, 6.0, 36726401153733.38, 49.74746920531994, 7.0182914074580856
46.0, 6.0, 37661690182636.984, 39.86077771295743, 7.34777268292916
46.5, 6.25, 40402835769729.72, 50.5194773350276, 7.156557597756061
47.0, 6.25, 43354120908429.72, 54.20974758050043, 7.942711674233177
47.5, 6.25, 39570957289176.12, 45.574917107039035, 6.965402248255302
48.0, 6.25, 44584337179173.81, 51.34895919662071, 8.2689
48.5, 6.5, 48864144485716.125, 71.55268727395433, 8.32461347210788
49.0, 6.5, 52625508230125.47, 55.69834161504345, 9.328036737170368
49.5, 6.5, 47668637164793.83, 59.60459430530132, 8.097177358190939
50.0, 6.5, 48876242877674.22, 71.57040317720828, 8.349009620907141
50.5, 6.75, 50547650988841.25, 63.2044969076866, 7.921733088788083
51.0, 6.75, 51276350191827.7, 59.05632740866928, 8.11314588800177
51.5, 6.75, 51276350191827.7, 59.05632740866928, 8.11314588800177
52.0, 6.75, 51276350191827.7, 59.05632740866928, 8.11314588800177
52.5, 7.0, 57450023527452.44, 77.81849531930847, 8.496091694420441
53.0, 7.0, 55113265327934.23, 63.47540395505927, 8.097177358190939
53.5, 7.0, 58416731555827.805, 79.12794237541486, 8.67270868068333
54.0, 7.0, 58233159060057.95, 72.81441273203323, 8.67270868068333
54.5, 7.25, 64857881772305.9, 87.85275373658769, 9.056492986802342
55.0, 7.25, 66475867066095.95, 105.02333692024285, 9.39125160188992
55.5, 7.25, 62089705681597.51, 65.71515894361325, 8.67270868068333
56.0, 7.25, 71296099154804.4, 75.45911897286086, 10.257001513600356
56.5, 7.5, 74795356007182.02, 118.16706153229144, 9.824252994502942
57.0, 7.5, 71646872811878.55, 89.58684454166762, 9.454043787184403
57.5, 7.5, 71430145753212.8, 82.26798628742927, 9.454043787184403
58.0, 7.5, 77125498127135.0, 112.93631979890714, 10.208214301237998
58.5, 7.75, 79109822683095.58, 98.9184748514853, 9.824252994502942
59.0, 7.75, 83584513597692.9, 113.21877139111368, 10.428618886985946
59.5, 7.75, 85031024882857.77, 115.17813232366646, 10.639248408134852
60.0, 7.75, 90116370902845.11, 95.37831710252846, 11.386368637102876
60.5, 8.0, 96024103854852.6, 101.63100594483777, 11.386368637102876
61.0, 8.0, 91181028576869.6, 144.05432087770225, 10.639248408134852
61.5, 8.0, 99524502580985.9, 114.62499939288588, 11.75549261962254
62.0, 8.0, 87913568510986.94, 93.04689182496857, 10.3842
62.5, 8.25, 124310415103147.61, 143.17158977140133, 13.6533
