Average particle radius (µm), 8.032645714285714, 0.5460114882846107
Escaping voltage (V), 2.5
Escaping force (pN), 14.52851147612106
Stiffness (pN/µm), 1.9619482990256067
Rsquared, 0.6024628009933377


Time (s), Voltage (V), EF gradient (V^2/m^3), DEP force (pN), Offset (µm)
0.5, 0.5, 133721633137.50955, 0.2811910735537186, 0.3846
1.0, 0.5, 131238732304.17238, 0.27597000696581986, 0.42999587207320955
1.5, 0.5, 126754958069.72757, 0.145987034499016, 0.1923
2.0, 0.5, 133827400603.45816, 0.28141348234876046, 0.5439065360886924
2.5, 0.75, 290902244065.28156, 0.3350398011006238, 0.3846
3.0, 0.75, 333847747401.9456, 0.5679915160207648, 1.5857464236125522
3.5, 0.75, 318726023259.90533, 0.6702199976708227, 0.9805414524638925
4.0, 0.75, 306607145315.6243, 0.6447363102564265, 0.6081059940503794
4.5, 1.0, 531590852471.9639, 0.7200623729093732, 0.5769
5.0, 1.0, 531590852471.9639, 0.7200623729093732, 0.5769
5.5, 1.0, 517159545004.94495, 0.5956263130677756, 0.3846
6.0, 1.0, 532017229103.8134, 0.7206399181546591, 0.6933475102717251
6.5, 1.25, 836421253771.6134, 1.7588342646797528, 0.5439065360886924
7.0, 1.25, 807576258930.7994, 0.9301069162774905, 0.42999587207320955
7.5, 1.25, 840308460677.0142, 1.890245035005659, 0.5439065360886924
8.0, 1.25, 856803328880.6194, 1.927349674770701, 0.6933475102717251
8.5, 1.5, 1221636433880.251, 2.3976686879753037, 0.5769
9.0, 1.5, 1233796793588.0923, 2.77538353166981, 0.6933475102717251
9.5, 1.5, 1227158714220.501, 2.580480571289635, 0.5769
10.0, 1.5, 1185957711613.9722, 2.017727912793493, 0.5439065360886924
10.5, 1.75, 1650066727908.684, 2.8073393024631628, 0.9615
11.0, 1.75, 1619880635987.3147, 2.9625979193455665, 0.6933475102717251
11.5, 1.75, 1728629807615.5906, 3.3927291687396988, 0.9615
12.0, 1.75, 1662782923892.5632, 3.263493491966384, 0.5769
12.5, 2.0, 2257802197701.9966, 4.4313197305987915, 0.9615
13.0, 2.0, 2356954651801.9736, 4.956225805110379, 1.3461
13.5, 2.0, 2300859512575.129, 3.116611869169304, 1.3999651317086437
14.0, 2.0, 2246647332584.1123, 4.108890843651693, 0.9805414524638925
14.5, 2.25, 2928530628861.8887, 6.158140998904926, 1.2162119881007587
15.0, 2.25, 2898993838120.5903, 5.301966652485459, 1.1697152345763475
15.5, 2.25, 2969985389386.3438, 5.829100028768301, 1.3461
16.0, 2.25, 3099492129350.9937, 6.51764040622559, 1.7307
16.5, 2.5, 4017233805936.0933, 7.347114503740597, 2.3076
17.0, 2.5, 4268725595108.224, 8.37809794558976, 2.8845
17.5, 2.5, 7943857064169.784, 14.52851147612106, 9.61692280773845
