Average particle radius (µm), 7.194282352941175, 0.3431028112684972
Escaping voltage (V), 5.75
Escaping force (pN), 60.04031543491651
Stiffness (pN/µm), 4.432152040606949
Rsquared, 0.862581237599535


Time (s), Voltage (V), EF gradient (V^2/m^3), DEP force (pN), Offset (µm)
26.0, 3.5, 8644995751014.231, 9.956670036156748, 2.9416243573916776
26.5, 3.75, 10890203361934.66, 15.946729932702656, 3.8890268204269303
27.0, 3.75, 11061017341672.445, 17.474987574063352, 4.0383
27.5, 3.75, 11506536823152.053, 16.849238630462697, 4.460365233924235
28.0, 3.75, 11941389221442.057, 14.931445544061638, 4.868647131390814
28.5, 4.0, 13577549359761.031, 16.97729092717728, 4.84199027880065
29.0, 4.0, 14052825602945.707, 20.57781725774251, 5.195659890716481
29.5, 4.0, 14532289318360.365, 22.95915171421683, 5.580014532239141
30.0, 4.0, 16239170108256.475, 17.187384495731923, 6.755179039818264
30.5, 4.25, 17707231627973.586, 22.1410222785825, 6.392348195303507
31.0, 4.25, 16742775716043.309, 20.9350720611005, 5.772204110216478
31.5, 4.25, 18682271259923.016, 23.36020631971676, 6.98925189773555
32.0, 4.25, 18332500630023.914, 26.84462602047841, 6.755179039818264
32.5, 4.5, 20918262643024.348, 28.33467462021838, 6.946795912505275
33.0, 4.5, 21693866016986.32, 24.985398716290387, 7.370385133084973
33.5, 4.5, 19851706046586.293, 22.863734402350442, 6.392348195303507
34.0, 4.5, 21304635495419.41, 31.19677909300025, 7.156557597756061
34.5, 4.75, 23720523457910.2, 25.105578326557932, 7.1384495249318665
35.0, 4.75, 22118721860548.305, 27.65712471476912, 6.392348195303507
35.5, 4.75, 24171251951024.883, 32.74098671019404, 7.370385133084973
36.0, 4.75, 24157656741272.375, 38.16599670102244, 7.34777268292916
36.5, 5.0, 25868076299730.03, 35.03940731178532, 7.0182914074580856
37.0, 5.0, 26767486693930.613, 28.33045548054601, 7.34777268292916
37.5, 5.0, 26302019130147.42, 32.88789596067094, 7.156557597756061
38.0, 5.0, 28222493144120.316, 35.289245805874195, 7.942711674233177
38.5, 5.25, 28492412700619.0, 32.81546457218128, 6.965402248255302
39.0, 5.25, 28997976090987.523, 33.39773528754508, 7.156557597756061
39.5, 5.25, 31128064160529.78, 45.58141074122463, 7.968277161971714
40.0, 5.25, 32066840911340.39, 36.93222799082237, 8.2689
40.5, 5.5, 35354790841015.26, 51.770686242603006, 8.32461347210788
41.0, 5.5, 34104438111060.605, 42.64399652527419, 7.905377922654932
41.5, 5.5, 34770493321168.188, 54.932916201322456, 8.188006642034432
42.0, 5.5, 34149216704385.586, 42.69998742510778, 7.942711674233177
42.5, 5.75, 38003287121690.04, 60.04031543491651, 8.188006642034432
